197
tr_NC_007605.1_6629_6795_0	6628	6794	6794	1	1	0	0
tr_NC_007605.1_6956_7128_1	6955	7127	6794	1	1	1	0
tr_NC_007605.1_11336_11479_2	11335	11478	7127	1	1	2	0
tr_NC_007605.1_11336_11479_23	11335	11478	11478	1	1	3	0
tr_NC_007605.1_11336_11479_44	11335	11478	11478	1	1	4	0
tr_NC_007605.1_11336_11479_65	11335	11478	11478	1	1	5	0
tr_NC_007605.1_11336_11479_86	11335	11478	11478	1	1	6	0
tr_NC_007605.1_11626_11657_3	11625	11656	11478	1	1	7	0
tr_NC_007605.1_11626_11657_24	11625	11656	11656	1	1	8	0
tr_NC_007605.1_11626_11657_45	11625	11656	11656	1	1	9	0
tr_NC_007605.1_11626_11657_66	11625	11656	11656	1	1	10	0
tr_NC_007605.1_11626_11657_87	11625	11656	11656	1	1	11	0
tr_NC_007605.1_14384_14410_105	14383	14409	11656	1	1	12	0
tr_NC_007605.1_14554_14619_4	14553	14618	14409	1	1	13	0
tr_NC_007605.1_14554_14619_25	14553	14618	14618	1	1	14	0
tr_NC_007605.1_14554_14619_46	14553	14618	14618	1	1	15	0
tr_NC_007605.1_14554_14619_67	14553	14618	14618	1	1	16	0
tr_NC_007605.1_14554_14619_88	14553	14618	14618	1	1	17	0
tr_NC_007605.1_14559_14619_106	14558	14618	14618	1	1	18	0
tr_NC_007605.1_14701_14832_5	14700	14831	14618	1	1	19	0
tr_NC_007605.1_14701_14832_26	14700	14831	14831	1	1	20	0
tr_NC_007605.1_14701_14832_47	14700	14831	14831	1	1	21	0
tr_NC_007605.1_14701_14832_68	14700	14831	14831	1	1	22	0
tr_NC_007605.1_14701_14832_89	14700	14831	14831	1	1	23	0
tr_NC_007605.1_14701_14832_107	14700	14831	14831	1	1	24	0
tr_NC_007605.1_17626_17691_6	17625	17690	14831	1	1	25	0
tr_NC_007605.1_17626_17691_27	17625	17690	17690	1	1	26	0
tr_NC_007605.1_17626_17691_48	17625	17690	17690	1	1	27	0
tr_NC_007605.1_17626_17691_69	17625	17690	17690	1	1	28	0
tr_NC_007605.1_17626_17691_90	17625	17690	17690	1	1	29	0
tr_NC_007605.1_17626_17691_108	17625	17690	17690	1	1	30	0
tr_NC_007605.1_17773_17904_7	17772	17903	17690	1	1	31	0
tr_NC_007605.1_17773_17904_28	17772	17903	17903	1	1	32	0
tr_NC_007605.1_17773_17904_49	17772	17903	17903	1	1	33	0
tr_NC_007605.1_17773_17904_70	17772	17903	17903	1	1	34	0
tr_NC_007605.1_17773_17904_91	17772	17903	17903	1	1	35	0
tr_NC_007605.1_17773_17904_109	17772	17903	17903	1	1	36	0
tr_NC_007605.1_20698_20763_8	20697	20762	17903	1	1	37	0
tr_NC_007605.1_20698_20763_29	20697	20762	20762	1	1	38	0
tr_NC_007605.1_20698_20763_50	20697	20762	20762	1	1	39	0
tr_NC_007605.1_20698_20763_71	20697	20762	20762	1	1	40	0
tr_NC_007605.1_20698_20763_92	20697	20762	20762	1	1	41	0
tr_NC_007605.1_20698_20763_110	20697	20762	20762	1	1	42	0
tr_NC_007605.1_20845_20976_9	20844	20975	20762	1	1	43	0
tr_NC_007605.1_20845_20976_30	20844	20975	20975	1	1	44	0
tr_NC_007605.1_20845_20976_51	20844	20975	20975	1	1	45	0
tr_NC_007605.1_20845_20976_72	20844	20975	20975	1	1	46	0
tr_NC_007605.1_20845_20976_93	20844	20975	20975	1	1	47	0
tr_NC_007605.1_20845_20976_111	20844	20975	20975	1	1	48	0
tr_NC_007605.1_23770_23835_10	23769	23834	20975	1	1	49	0
tr_NC_007605.1_23770_23835_31	23769	23834	23834	1	1	50	0
tr_NC_007605.1_23770_23835_52	23769	23834	23834	1	1	51	0
tr_NC_007605.1_23770_23835_73	23769	23834	23834	1	1	52	0
tr_NC_007605.1_23770_23835_94	23769	23834	23834	1	1	53	0
tr_NC_007605.1_23770_23835_112	23769	23834	23834	1	1	54	0
tr_NC_007605.1_23917_24048_11	23916	24047	23834	1	1	55	0
tr_NC_007605.1_23917_24048_32	23916	24047	24047	1	1	56	0
tr_NC_007605.1_23917_24048_53	23916	24047	24047	1	1	57	0
tr_NC_007605.1_23917_24048_74	23916	24047	24047	1	1	58	0
tr_NC_007605.1_23917_24048_95	23916	24047	24047	1	1	59	0
tr_NC_007605.1_23917_24048_113	23916	24047	24047	1	1	60	0
tr_NC_007605.1_26842_26907_12	26841	26906	24047	1	1	61	0
tr_NC_007605.1_26842_26907_33	26841	26906	26906	1	1	62	0
tr_NC_007605.1_26842_26907_54	26841	26906	26906	1	1	63	0
tr_NC_007605.1_26842_26907_75	26841	26906	26906	1	1	64	0
tr_NC_007605.1_26842_26907_96	26841	26906	26906	1	1	65	0
tr_NC_007605.1_26842_26907_114	26841	26906	26906	1	1	66	0
tr_NC_007605.1_26989_27120_13	26988	27119	26906	1	1	67	0
tr_NC_007605.1_26989_27120_34	26988	27119	27119	1	1	68	0
tr_NC_007605.1_26989_27120_55	26988	27119	27119	1	1	69	0
tr_NC_007605.1_26989_27120_76	26988	27119	27119	1	1	70	0
tr_NC_007605.1_26989_27120_97	26988	27119	27119	1	1	71	0
tr_NC_007605.1_26989_27120_115	26988	27119	27119	1	1	72	0
tr_NC_007605.1_29914_29979_14	29913	29978	27119	1	1	73	0
tr_NC_007605.1_29914_29979_35	29913	29978	29978	1	1	74	0
tr_NC_007605.1_29914_29979_56	29913	29978	29978	1	1	75	0
tr_NC_007605.1_29914_29979_77	29913	29978	29978	1	1	76	0
tr_NC_007605.1_29914_29979_98	29913	29978	29978	1	1	77	0
tr_NC_007605.1_29914_29979_116	29913	29978	29978	1	1	78	0
tr_NC_007605.1_30061_30192_15	30060	30191	29978	1	1	79	0
tr_NC_007605.1_30061_30192_36	30060	30191	30191	1	1	80	0
tr_NC_007605.1_30061_30192_57	30060	30191	30191	1	1	81	0
tr_NC_007605.1_30061_30192_78	30060	30191	30191	1	1	82	0
tr_NC_007605.1_30061_30192_99	30060	30191	30191	1	1	83	0
tr_NC_007605.1_30061_30192_117	30060	30191	30191	1	1	84	0
tr_NC_007605.1_32986_33051_16	32985	33050	30191	1	1	85	0
tr_NC_007605.1_32986_33051_37	32985	33050	33050	1	1	86	0
tr_NC_007605.1_32986_33051_58	32985	33050	33050	1	1	87	0
